FileName,NB_whistle_mean_time,nbVolume
LC_ARU5_20240703_062500.wav,1025.6,-2.64
LC_ARU5_20240703_062500.wav,1039.35,-4.77
LC_ARU5_20240703_062500.wav,1051.98,-4.95
LC_ARU5_20240703_062500.wav,1060.9,-5.08
LC_ARU5_20240703_062500.wav,1080.59,-4.47
LC_ARU5_20240703_062500.wav,1089.13,-4.53
LC_ARU5_20240703_062500.wav,1097.31,-2.71
LC_ARU5_20240703_062500.wav,1111.98,-2.68
LC_ARU5_20240703_062500.wav,1153.96,-4.59
LC_ARU5_20240703_062500.wav,1161.58,-2.66
LC_ARU5_20240703_062500.wav,1169.38,-3.16
LC_ARU5_20240703_062500.wav,1183.5,-2.72
LC_ARU5_20240703_062500.wav,1190.19,-2.73
LC_ARU5_20240703_062500.wav,1199.47,-2.7
LC_ARU5_20240703_062500.wav,1220.09,-5.39
LC_ARU5_20240703_062500.wav,1229.57,-5.27
LC_ARU5_20240703_062500.wav,1235.51,-2.75
LC_ARU5_20240703_062500.wav,1241.08,-2.55
LC_ARU5_20240703_062500.wav,1249.81,-5.26
LC_ARU5_20240703_062500.wav,1252.79,-2.6
LC_ARU5_20240703_062500.wav,1255.76,-2.72
LC_ARU5_20240703_062500.wav,1263,-5.06
LC_ARU5_20240703_062500.wav,1266.72,-2.6
LC_ARU5_20240703_062500.wav,1269.88,-2.73
LC_ARU5_20240703_062500.wav,1280.46,-2.58
LC_ARU5_20240703_062500.wav,1286.59,-2.75
LC_ARU5_20240703_062500.wav,1290.68,-5.25
LC_ARU5_20240703_062500.wav,1298.11,-2.55
LC_ARU5_20240703_062500.wav,1303.13,-2.74
LC_ARU5_20240703_062500.wav,1320.22,-2.69
LC_ARU5_20240703_062500.wav,1335.82,-4.24
LC_ARU5_20240703_062500.wav,1341.95,-2.69
LC_ARU5_20240703_062500.wav,1348.08,-5.42
LC_ARU5_20240703_062500.wav,1352.54,-2.79
LC_ARU5_20240703_062500.wav,1359.6,-2.61
LC_ARU5_20240703_062500.wav,1361.83,-2.61
LC_ARU5_20240703_062500.wav,1365.54,-2.68
LC_ARU5_20240703_062500.wav,1379.85,-2.61
LC_ARU5_20240703_062500.wav,1392.48,-5.6
LC_ARU5_20240703_062500.wav,1395.82,-2.67
LC_ARU5_20240703_062500.wav,1401.02,-2.7
LC_ARU5_20240703_062500.wav,1411.61,-2.82
LC_ARU5_20240703_062500.wav,1417.93,-2.51
LC_ARU5_20240703_062500.wav,1438.36,-2.65
LC_ARU5_20240703_062500.wav,1452.11,-2.58
LC_ARU5_20240703_062500.wav,1466.6,-2.67
LC_ARU5_20240703_062500.wav,1481.64,-2.61
LC_ARU5_20240703_062500.wav,1495.76,-5.32
LC_ARU5_20240703_062500.wav,1503.19,-2.63
LC_ARU5_20240703_062500.wav,1525.11,-2.64
LC_ARU5_20240703_062500.wav,1542.01,-2.69
LC_ARU5_20240703_062500.wav,1559.66,-2.76
LC_ARU5_20240703_062500.wav,1575.82,-2.73
LC_ARU5_20240703_062500.wav,1616.88,-2.74
LC_ARU5_20240703_062500.wav,1642.14,-4.4
LC_ARU5_20240703_062500.wav,1657.56,-4.32
LC_ARU5_20240703_062500.wav,1665.36,-2.83
LC_ARU5_20240703_062500.wav,1672.05,-4.13
LC_ARU5_20240703_062500.wav,1688.76,-4.4
LC_ARU5_20240703_062500.wav,1718.86,-4.31
LC_ARU5_20240703_062500.wav,1735.95,-4.16
LC_ARU5_20240703_062500.wav,1753.78,-4.33
LC_ARU5_20240703_062500.wav,1769.76,-4.39
LC_ARU5_20240703_062500.wav,1788.33,-4.3
LC_ARU5_20240707_062500.wav,131.36,-4.55
LC_ARU5_20240707_062500.wav,142.13,-4.48
LC_ARU5_20240707_062500.wav,258.04,-4.32
LC_ARU5_20240707_062500.wav,429.13,-4.58
LC_ARU5_20240707_062500.wav,447.33,-4.42
LC_ARU5_20240707_062500.wav,544.3,-4.61
LC_ARU5_20240707_062500.wav,622.5,-4.82
