"File_Name","Study_Area","SiteID","Site_Number","Recording_Time","Date_Time","Date","Time","Detection_Start","Detection_End","Scientific_name","Common_name","Confidence"
"LC_ARU1_20240802_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-08-02 06:41:34,2024-08-02,"06:41:34",994,997,"Colinus virginianus","Northern Bobwhite",0.8102
"LC_ARU1_20240802_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-08-02 06:43:00,2024-08-02,"06:43:00",1080,1083,"Colinus virginianus","Northern Bobwhite",0.8592
"LC_ARU1_20240805_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-08-05 06:37:18,2024-08-05,"06:37:18",738,741,"Colinus virginianus","Northern Bobwhite",0.8447
"LC_ARU1_20240805_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-08-05 06:39:08,2024-08-05,"06:39:08",848,851,"Colinus virginianus","Northern Bobwhite",0.8089
"LC_ARU2_20240429_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-04-29 06:44:18,2024-04-29,"06:44:18",1158,1161,"Colinus virginianus","Northern Bobwhite",0.812
"LC_ARU2_20240501_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-01 06:40:00,2024-05-01,"06:40:00",900,903,"Colinus virginianus","Northern Bobwhite",0.8083
"LC_ARU2_20240501_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-01 06:51:42,2024-05-01,"06:51:42",1602,1605,"Colinus virginianus","Northern Bobwhite",0.8295
"LC_ARU2_20240504_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-04 06:34:18,2024-05-04,"06:34:18",558,561,"Colinus virginianus","Northern Bobwhite",0.8742
"LC_ARU2_20240504_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-04 06:38:40,2024-05-04,"06:38:40",820,823,"Colinus virginianus","Northern Bobwhite",0.8294
"LC_ARU2_20240504_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-04 06:47:04,2024-05-04,"06:47:04",1324,1327,"Colinus virginianus","Northern Bobwhite",0.8171
"LC_ARU2_20240505_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-05 06:42:00,2024-05-05,"06:42:00",1020,1023,"Colinus virginianus","Northern Bobwhite",0.9201
"LC_ARU2_20240505_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-05 06:42:02,2024-05-05,"06:42:02",1022,1025,"Colinus virginianus","Northern Bobwhite",0.9387
"LC_ARU2_20240505_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-05 06:42:04,2024-05-05,"06:42:04",1024,1027,"Colinus virginianus","Northern Bobwhite",0.8964
"LC_ARU2_20240505_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-05 06:42:10,2024-05-05,"06:42:10",1030,1033,"Colinus virginianus","Northern Bobwhite",0.9469
"LC_ARU2_20240505_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-05 06:42:12,2024-05-05,"06:42:12",1032,1035,"Colinus virginianus","Northern Bobwhite",0.9454
"LC_ARU2_20240505_062500.BirdNET.results.csv","LC","ARU2",2,"0625",2024-05-05 06:42:20,2024-05-05,"06:42:20",1040,1043,"Colinus virginianus","Northern Bobwhite",0.9399
